Time_Step,Adj Close,Close,High,Low,Open,Volume,Day_of_Week,Month,MA_30,Target_Close,Price_Movement
27,13.573332786560059,13.573332786560059,13.83133316040039,13.533332824707031,13.597332954406738,45105000.0,4,1,,13.573332786560059,0.0
28,13.573332786560059,13.573332786560059,13.83133316040039,13.533332824707031,13.597332954406738,45105000.0,5,1,,13.573332786560059,0.0
29,13.573332786560059,13.573332786560059,13.83133316040039,13.533332824707031,13.597332954406738,45105000.0,6,2,13.52606658935547,14.062666893005371,0.4893341064453125
30,14.062666893005371,14.062666893005371,14.130000114440918,13.553333282470703,13.597999572753906,62238000.0,0,2,13.507466570536296,14.557332992553711,0.49466609954833984
31,14.557332992553711,14.557332992553711,14.691332817077637,14.084667205810547,14.214667320251465,72393000.0,1,2,13.505355421702067,14.569999694824219,0.012666702270507812
32,14.569999694824219,14.569999694824219,14.76533317565918,14.453332901000977,14.552666664123535,49581000.0,2,2,13.524155426025391,14.732666969299316,0.16266727447509766
33,14.732666969299316,14.732666969299316,15.031999588012695,14.642666816711426,14.658666610717773,52843500.0,3,2,13.545733229319255,14.490667343139648,-0.24199962615966797
34,14.490667343139648,14.490667343139648,14.893333435058594,14.433333396911621,14.800000190734863,48658500.0,4,2,13.559977722167968,14.490667343139648,0.0
35,14.490667343139648,14.490667343139648,14.893333435058594,14.433333396911621,14.800000190734863,48658500.0,5,2,13.574955526987711,14.490667343139648,0.0
36,14.490667343139648,14.490667343139648,14.893333435058594,14.433333396911621,14.800000190734863,48658500.0,6,2,13.59873332977295,14.498666763305664,0.007999420166015625
37,14.498666763305664,14.498666763305664,14.528667449951172,14.13266658782959,14.358667373657227,52086000.0,0,2,13.622777779897055,14.419333457946777,-0.07933330535888672
38,14.419333457946777,14.419333457946777,14.699999809265137,14.333333015441895,14.50333309173584,80857500.0,1,2,13.644177786509196,14.186667442321777,-0.232666015625
39,14.186667442321777,14.186667442321777,14.315999984741211,13.8186674118042,14.147333145141602,146536500.0,2,2,13.667711130777995,13.525333404541016,-0.6613340377807617
40,13.525333404541016,13.525333404541016,13.53933334350586,12.885333061218262,12.904666900634766,234744000.0,3,2,13.664666684468587,13.584667205810547,0.05933380126953125
41,13.584667205810547,13.584667205810547,13.732666969299316,13.394000053405762,13.526666641235352,92865000.0,4,2,13.68928893407186,13.584667205810547,0.0
42,13.584667205810547,13.584667205810547,13.732666969299316,13.394000053405762,13.526666641235352,92865000.0,5,2,13.715733400980632,13.584667205810547,0.0
43,13.584667205810547,13.584667205810547,13.732666969299316,13.394000053405762,13.526666641235352,92865000.0,6,2,13.739511203765868,13.584667205810547,0.0
44,13.584667205810547,13.584667205810547,13.732666969299316,13.394000053405762,13.526666641235352,92865000.0,0,2,13.763289006551107,13.623332977294922,0.038665771484375
45,13.623332977294922,13.623332977294922,13.713333129882812,13.433333396911621,13.713333129882812,59694000.0,1,2,13.788355668385824,13.630666732788086,0.0073337554931640625
46,13.630666732788086,13.630666732788086,13.744667053222656,13.506667137145996,13.611332893371582,40704000.0,2,2,13.81366678873698,14.11400032043457,0.4833335876464844
47,14.11400032043457,14.11400032043457,14.162667274475098,13.583333015441895,13.666666984558105,77311500.0,3,2,13.857622369130452,14.473999977111816,0.3599996566772461
48,14.473999977111816,14.473999977111816,14.506667137145996,13.987333297729492,14.052000045776367,89731500.0,4,2,13.90326681137085,14.473999977111816,0.0
49,14.473999977111816,14.473999977111816,14.506667137145996,13.987333297729492,14.052000045776367,89731500.0,5,2,13.937689050038655,14.473999977111816,0.0
50,14.473999977111816,14.473999977111816,14.506667137145996,13.987333297729492,14.052000045776367,89731500.0,6,2,13.97284460067749,13.822667121887207,-0.6513328552246094
51,13.822667121887207,13.822667121887207,14.546667098999023,13.755332946777344,14.37733268737793,127497000.0,0,2,13.986289056142171,13.607333183288574,-0.2153339385986328
52,13.607333183288574,13.607333183288574,13.81933307647705,13.446666717529297,13.81933307647705,99054000.0,1,2,13.992555713653564,13.583999633789062,-0.02333354949951172
53,13.583999633789062,13.583999633789062,13.809332847595215,13.505332946777344,13.662667274475098,58642500.0,2,2,13.986355686187744,13.812666893005371,0.2286672592163086
54,13.812666893005371,13.812666893005371,14.072667121887207,13.481332778930664,13.600000381469727,97093500.0,3,2,13.989044570922852,13.555999755859375,-0.2566671371459961
55,13.555999755859375,13.555999755859375,13.903332710266113,13.520000457763672,13.793333053588867,58231500.0,4,2,13.997866789499918,13.555999755859375,0.0
56,13.555999755859375,13.555999755859375,13.903332710266113,13.520000457763672,13.793333053588867,58231500.0,5,2,13.993733437856038,13.555999755859375,0.0
57,13.555999755859375,13.555999755859375,13.903332710266113,13.520000457763672,13.793333053588867,58231500.0,6,3,13.993155670166015,13.155332565307617,-0.4006671905517578
58,13.155332565307617,13.155332565307617,13.555999755859375,13.055333137512207,13.513333320617676,118831500.0,0,3,13.9792223294576,13.303999900817871,0.1486673355102539
59,13.303999900817871,13.303999900817871,13.349332809448242,13.021332740783691,13.120667457580566,66484500.0,1,3,13.970244566599527,13.496000289916992,0.1920003890991211
60,13.496000289916992,13.496000289916992,13.501333236694336,13.147333145141602,13.283332824707031,63330000.0,2,3,13.951355679829915,13.375332832336426,-0.1206674575805664
61,13.375332832336426,13.375332832336426,13.746000289916992,13.34333324432373,13.523332595825195,73155000.0,3,3,13.91195567448934,12.925333023071289,-0.4499998092651367
62,12.925333023071289,12.925333023071289,13.383333206176758,12.8100004196167,13.280667304992676,100686000.0,4,3,13.857133452097575,12.925333023071289,0.0
63,12.925333023071289,12.925333023071289,13.383333206176758,12.8100004196167,13.280667304992676,100686000.0,5,3,13.796888987223307,12.925333023071289,0.0
64,12.925333023071289,12.925333023071289,13.383333206176758,12.8100004196167,13.280667304992676,100686000.0,6,3,13.744711176554363,12.725333213806152,-0.19999980926513672
65,12.725333213806152,12.725333213806152,12.965999603271484,12.550000190734863,12.959333419799805,101050500.0,0,3,13.68586670557658,12.687999725341797,-0.03733348846435547
